Short name	Full name	Telegram link	Members	Growth (last 24 hours)
CYPHER	Cypherium	https://t.me/cypherium_supergroup	6720	96
TELCO	Telcoin	https://t.me/telcoincommunity	17404	94
LTC	Litecoin	http://t.me/Litecoin	24629	86
FINE	FineCoin	https://t.me/finecoin	2043	84
XRB	RaiBlocks	http://t.me/RaiBlocks	12498	84
BTC	Bitcoin	http://t.me/BitcoinCore	7122	82
DENT	DentCoin	http://t.me/DentCoin	6149	78
HQX	HOQU	https://t.me/HOQUIO	14408	77
OMT	Omega One	https://t.me/OmegaOnePlatform	2788	76
JNT	Jibrel Network	https://t.me/jibrel_network	4632	75
BDG	BitDegree	https://t.me/bitdegree	19813	74
AST	Airswap	https://t.me/airswapofficial	7552	69
ZIL	Zilliqa	https://t.me/zilliqachat	15913	68
STR	StellarLumens	http://t.me/StellarLumens	8688	65
AE	Aeternity	http://t.me/Aeternity	5326	64
HTML5	HTMLCoinOfficial	http://t.me/HTMLCoinOfficial	9605	62
SC	Siacoin	http://t.me/Siacoin	8065	61
QASH	QUOINE	https://t.me/QUOINE	10901	59
IGNT	Ignite Ratings	https://t.me/igniteratingsICO	5250	59
NVT	NaviAddress	https://t.me/naviaddress	478	53
ENJ	Enjin	https://t.me/enjin_coin	10612	52
MIOTA	IOTA	http://t.me/IOTatangle	11034	52
ADB	adbank	https://t.me/joinchat/GPdeT0mPAe7bz36x-FSQ1w	5630	51
KNC	Kyber Network	https://t.me/kybernetwork	5481	51
DGB	DigiByteCoin	http://t.me/DigiByteCoin	12576	50
XMR	Monero	http://t.me/Monero	6968	50
SHP	Sharpe Capital	https://t.me/sharpecapital	3082	47
NUVUS	Nuvus Blockchain	https://t.me/nuvusblockchain	1328	44
ETC	EthClassic	http://t.me/EthClassic	5064	42
CHSB	SwissBorg	http://t.me/SwissBorgChat	11669	42
ZCL	ZClassicCoin	http://t.me/ZClassicCoin	4988	42
OWL	Minerva	https://t.me/minervachat	2463	41
LOC	Lockchain	https://t.me/lockchainco	4110	40
VPP	Virtue Poker	https://t.me/joinchat/HBU3ukcu2tDrbBaf-ETdiA	1932	40
QSP	Quantstamp	https://t.me/Quantstamp	22635	40
KEY	Selfkey	https://t.me/selfkeyfoundation	13165	39
COB	CobinHood	https://t.me/cobinhood	8441	39
LGO	Legolas Exchange	https://t.me/LegolasEx	1040	38
EVN	Envion	https://t.me/Envion	23307	38
DCR	Decred	http://t.me/Decred	2292	38
BTS	BitSharesDEX	http://t.me/BitSharesDEX	8861	36
ZEN	ZenCash	http://t.me/ZenCash	3725	36
GIFTO	Gifto	https://t.me/giftoOfficial	7994	34
DASH	DashDigitalCash	http://t.me/DashDigitalCash	5932	34
ICO	Mysterium_network	http://t.me/Mysterium_network	2349	33
AGI	SingularityNET	https://t.me/singularitynet	15481	32
STACK	STK Token	https://t.me/stktoken	7812	31
WAVES	WavesCommunity	http://t.me/WavesCommunity	10079	31
WIZ	CrowdWiz	https://t.me/crowdwiz	2456	30
SUB	Substratum	https://t.me/SubstratumCommunity	9317	30
BOON	Boon.Tech	https://t.me/joinchat/CbaCNAwlT_j_yrAaiP7O6g	4086	26
CGCOIN	Crowd Genie	https://t.me/joinchat/F9j7MhF-eb-t5SVPYptdyQ	5197	26
AGLD	AnTheMGold	http://t.me/AnTheMGold	925	26
LSK	LiskGroup	http://t.me/LiskGroup	2653	26
SKY	SkyCoin	http://t.me/SkyCoin	5782	25
TRST	WeTrustPlatform	http://t.me/WeTrustPlatform	1594	25
TIO	trade.io	https://t.me/TradeToken	10863	23
TUT	Tutellus	https://t.me/tutellus	771	22
HADE	Hade	https://t.me/HadeTokenSale	1183	22
OPP	Opporty	http://t.me/opportyico	2123	22
ARK	ArkEcosystem	http://t.me/ArkEcosystem	3507	22
BELA	BelaCoin	http://t.me/BelaCoin	560	22
ARY	Block.array	https://t.me/Block_Array	4596	21
ENG	Enigma	https://t.me/enigmacatalyst	13366	21
XZC	ZCoinProject	http://t.me/ZCoinProject	3697	21
ARDR	ArdorPlatform	http://t.me/ArdorPlatform	1651	20
STRC	BackToEarth	http://t.me/BackToEarth	1128	20
NET	NimIQ	http://t.me/NimIQ	2602	19
DCN	Dentacoin	https://t.me/Dentacoin_Official	1037	18
SKT	SafeKeet	https://t.me/safekeetico	868	17
XBY	XTRABYTES	https://t.me/xtrabytes_official	3002	17
TUNE	RecordGram	https://t.me/RecordgramICO	575	15
TM-AGRELLO	Agrello	http://t.me/Agrello	4331	15
MAID	MaidSafeCoin	http://t.me/MaidSafeCoin	947	15
MONA	Monacoin	http://t.me/Monacoin	1666	15
NAV	NavCoin	http://t.me/NavCoin	4048	15
PASC	PascalCoin	http://t.me/PascalCoin	1310	15
DRG	DRG Token	https://t.me/joinchat/FSgY4RI3tNfalmD2sbIZRg	4552	14
ICN	Iconomi	http://t.me/Iconomi	2055	14
MCO	MonacoCard	http://t.me/MonacoCard	6216	14
EHAB	ehab	https://t.me/ehabplatform	71	13
FLP	Gameflip	https://t.me/flip_token	3225	13
BAX	BABB	https://t.me/getbabb	548	13
IDH	indaHash	https://t.me/indaHash_chat	13665	13
IOC	iodigital	http://t.me/iodigital	975	13
MXT	MartexCoin	http://t.me/MartexCoin	718	13
GUP	Matchpool	http://t.me/Matchpool	1999	13
ZEC	ZCashco	http://t.me/ZCashco	1866	13
GIF	GIF by SOCIFI	https://t.me/gifbysocifi	432	12
LALA	LALA World	https://t.me/LaLaWorld	7920	12
KEK	KekcoinOfficial	http://t.me/KekcoinOfficial	595	12
MLN	MelonPort	http://t.me/MelonPort	633	12
EXP	ExpanseTech	http://t.me/ExpanseTech	1284	11
FCT	FactomFCT	http://t.me/FactomFCT	991	11
FUN	FunFairTech	http://t.me/FunFairTech	5429	11
GRC	GridCoin	http://t.me/GridCoin	1153	11
NXT	NXTCommunity	http://t.me/NXTCommunity	5601	11
PIVX	PIVXChat	http://t.me/PIVXChat	1276	11
ICO	Tierion	http://t.me/Tierion	4337	11
PXS	Pundi X	https://t.me/Pundix	16803	10
MCFLY	McFly Aero	https://t.me/tomcfly	887	10
DAR	Darcrus	http://t.me/Darcrus	1152	10
WINGS	WingsChat	http://t.me/WingsChat	3926	10
FKX	FortKnoxster	https://t.me/FortKnoxster	3042	9
NUG	Nuggets	https://t.me/nuggetsblockchain	874	9
BKX	Bankex	https://t.me/bankex	7329	9
VOC	Voxelus	https://t.me/voxelus	243	9
BNT	Bancor	https://t.me/bancor	4769	9
AHT	BowHead	http://t.me/BowHead	313	9
PPC	Peercoin	http://t.me/Peercoin	2447	9
XTZ	TezosICO	http://t.me/TezosICO	1584	9
GLA	Gladius	http://t.me/gladiusio	7846	8
DNT	District0x	http://t.me/District0x	4169	8
KMD	KomodoPlatform	http://t.me/KomodoPlatform	1416	8
NMC	Namecoin	http://t.me/Namecoin	400	8
RHOC	Rchain	https://t.me/rchain_coop	1138	7
SNOV	Snovio	https://t.me/snovio_ico	3368	7
HBT	Hubii Network	https://t.me/hubiinetwork	974	7
BCN	BytecoinChat	http://t.me/BytecoinChat	6748	7
FLDC	FoldingCoin	http://t.me/FoldingCoin	433	7
MNE	Minereum	http://t.me/Minereum	676	7
DOGE	TheDogeHouse	http://t.me/TheDogeHouse	2206	7
LATX	Latium	https://t.me/joinchat/GPJK8w3rbib8uj58hUXMJw	6095	6
XCP	Counterparty	http://t.me/Counterparty	1244	6
DDF	DigitalDevelopersFund	http://t.me/DigitalDevelopersFund	619	6
DGD	DigixDAO	http://t.me/DigixDAO	359	6
FUEL	EtherParty	http://t.me/EtherParty	4975	6
MSP	MothershipCX	http://t.me/MothershipCX	4171	6
NAUT	NautilusCoin	http://t.me/NautilusCoin	230	6
OMNI	OmniLayer	http://t.me/OmniLayer	644	6
PAY	PayTenX	http://t.me/PayTenX	422	6
PEPE	PepeCash	http://t.me/PepeCash	698	6
START	StartCoinUncensored	http://t.me/StartCoinUncensored	713	6
AMP	Synereo	http://t.me/Synereo	716	6
TKN	TokenCard	http://t.me/TokenCard	667	6
AIX	AiGangNetwork	http://t.me/AiGangNetwork	4029	5
DCT	Decentch	http://t.me/Decentch	1370	5
GAME	Game_Credits	http://t.me/Game_Credits	385	5
GNS	GnosisPM	http://t.me/GnosisPM	637	5
KUSH	KushCoin	http://t.me/KushCoin	305	5
NEO	AnsCommunity	http://t.me/AnsCommunity	581	5
RNS	RenosCoin	http://t.me/RenosCoin	577	5
SAFEX	Safex_Exchange	http://t.me/Safex_Exchange	562	5
SDC	ShadowCash	http://t.me/ShadowCash	334	5
STEEM	SteemITDotCom	http://t.me/SteemITDotCom	2555	5
STRAT	StratisPlatform	http://t.me/StratisPlatform	4247	5
KYT	KEYRPTO	https://t.me/KEYRPTOGroup	1067	4
CAS	Cashaa	https://t.me/CashaaLtd	8409	4
NTK	Neuromation	https://t.me/neurotokenNTK	5956	4
LOAN	Lendoit	https://t.me/Lendoit	2612	4
BLK	Blackcoin	http://t.me/Blackcoin	1222	4
GNT	GolemProject	http://t.me/GolemProject	1978	4
MGO	MobileGo	http://t.me/MobileGo	2316	4
XEM	NemRed	http://t.me/NemRed	9145	4
EQC	QchainDapp	http://t.me/QchainDapp	102	4
BLT	Bloom	https://t.me/joinchat/FFWDdQ1hxqIg3jLe7zBVFQ	2816	3
SNT	ETHStatus	http://t.me/ETHStatus	593	3
POT	PotCoin420	http://t.me/PotCoin420	2046	3
UNITY	SuperNetorg	http://t.me/SuperNetorg	285	3
ALG	Algory	https://t.me/AlgoryProject	1203	2
FIN	Finom	https://t.me/finom_community	6868	2
ICOO	OpenLedgerDC	http://t.me/OpenLedgerDC	1524	2
NEVA	Nevacoin	http://t.me/Nevacoin	68	2
PPY	PeerPlays	http://t.me/PeerPlays	1185	2
SJCX	StorjProject	http://t.me/StorjProject	1566	2
TAAS	TAASFund	http://t.me/TAASFund	2316	2
VTC	VertcoinCrypto	http://t.me/VertcoinCrypto	2062	2
SINTEZ	SINTEZ	https://t.me/sintez_future	300	1
PopulCoin	PopulTrade	https://t.me/popultradeofficialQA	1088	1
WAX	WAX	https://t.me/waxtokenannoucements	22774	1
BLOCKPAY	Blockpay	http://t.me/Blockpay	290	1
GBYTE	Byteball	http://t.me/Byteball	2181	1
TIME	ChronoBank	http://t.me/ChronoBank	2099	1
ATOM	Cosmos_Network	http://t.me/Cosmos_Network	550	1
UTRUST	UTRUST	https://t.me/utrustofficial	11976	0
BTP	Bitproperty	https://t.me/btpico	92	0
FYP	Flypme	http://t.me/Flypme	1324	0
AXP	aXpire	https://t.me/AxpireOfficial	7262	-1
TKT	crypto.tickets	https://t.me/Cryptoticketsnews	1910	-1
XEL	ElasticXEL	http://t.me/ElasticXEL	758	-1
SYS	SyscoinOfficial	http://t.me/SyscoinOfficial	376	-1
UBQ	Ubiqsmart	http://t.me/Ubiqsmart	800	-1
VIA	ViaCoin	http://t.me/ViaCoin	2711	-1
STU	BitJob	http://t.me/BitJob	2145	-2
CREA	CreativeChain	http://t.me/CreativeChain	1069	-2
RADS	RadiumOfficial	http://t.me/RadiumOfficial	1307	-2
SNGLS	Singulardtv	http://t.me/Singulardtv	596	-2
CABS	CyberTrust	http://t.me/cybertrustbank	1777	-3
NTRY	Notary Platform	https://t.me/joinchat/F2wLskHLoA8UUhb3Iomt_g	185	-3
SLK	SilkNetwork	http://t.me/SilkNetwork	151	-3
EVEREX	Everex	https://t.me/everexio	4878	-4
LNC	LinkerCoin	https://t.me/linkercoinico	501	-4
VEE	BlockV	https://t.me/block_v	3466	-4
EQT	Equi_Trader	http://t.me/Equi_Trader	2065	-4
LOCIcoin	Loci	https://t.me/Loci_InnVenn	3019	-6
MOT	Olympus Labs	https://t.me/olympuslabs	6182	-6
C20	Crypto20	https://t.me/CRYPTO20	1020	-6
BQX	BitQuence	http://t.me/BitQuence	2341	-6
SRG	SRG	https://t.me/srgcommunityen	2040	-8
HST	Horizon State	https://t.me/horizonstate	4253	-8
POWR	Power Ledger	https://t.me/joinchat/Gop-90DIMiPF7N_EtvFzjA	16668	-8
BCH	BitcoinCash	http://t.me/BitcoinCashFork	5605	-8
COV	Covesting	https://t.me/covesting	9492	-9
BET	DAOCasino	http://t.me/DAOCasino	1771	-9
RCN	Ripio Credit Network	https://t.me/RCNchat	5016	-11
CVC	CivicPlatform	http://t.me/CivicPlatform	8456	-11
SME	SME Platform	https://t.me/smeplatform	4490	-13
AID	AidCoin	https://t.me/aidcoincommunity	4532	-13
BTW	BitcoinWhite	https://t.me/BTW_Community	24136	-14
GRS	Groestlcoin	https://t.me/groestl	2253	-18
WABI	WaBi	https://t.me/joinchat/GOTG3EIRK4fBEURKmiOYFg	8227	-22
ST	Simple Token	https://t.me/simpletoken	9254	-22
EVE	Devery	https://t.me/deverychat	5320	-24
PROPS	PROPS	https://t.me/propsproject	8395	-28
SNM	Sonm_eng	http://t.me/Sonm_eng	6165	-31
MOBI	Mobius	https://t.me/mobius_network	13514	-32
IOS	Internet of Services (IOS)	https://t.me/officialios	52419	-37
XVG	VERGExvg	http://t.me/VERGExvg	27466	-38
INS	INS Ecosystem	https://t.me/ins_ecosystem	20558	-45
CRPT	Crypterium	https://t.me/crypterium	36404	-65
IPL	InsurePal	https://t.me/InsurePal	8223	-102
BLZ	Bluzelle	https://t.me/Bluzelle	26211	-171
TKY	TheKey	https://t.me/joinchat/FkZtERGQ1qUEU7iAzC6xVQ	21136	-195
XNK	Ink Protocol	https://t.me/paywithink	15418	-263
EXY	Experty	https://t.me/experty_io	19178	-268
GEM	Gems	https://t.me/GemsOrg	49050	-289
CPX	APEX	https://t.me/APEXcommunity	19618	-348
DADI	DADI	https://t.me/dadichat	36452	-5035
